Date : 2025-03-03 12:40:45
Directory : c:\Users\Administrator\open-webui\backend
Total : 162 files,  113967 codes, 1776 comments, 6900 blanks, all 122643 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\open-webui\backend\open_webui\models\messages.py                                               | Python           |        214 |          8 |         58 |        280 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\models.py                                                 | Python           |        187 |         24 |         63 |        274 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\prompts.py                                                | Python           |        107 |         21 |         32 |        160 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\tags.py                                                   | Python           |         81 |          7 |         22 |        110 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\tools.py                                                  | Python           |        187 |         24 |         52 |        263 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\users.py                                                  | Python           |        256 |         10 |         69 |        335 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\loaders\main.py                                        | Python           |        195 |          0 |         21 |        216 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\loaders\youtube.py                                     | Python           |         96 |          1 |         21 |        118 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\models\colbert.py                                      | Python           |         56 |         12 |         20 |         88 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\utils.py                                               | Python           |        574 |         18 |        108 |        700 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\connector.py                                    | Python           |         16 |          0 |          7 |         23 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\chroma.py                                   | Python           |        148 |          9 |         22 |        179 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\milvus.py                                   | Python           |        245 |         13 |         40 |        298 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\opensearch.py                               | Python           |        170 |          4 |         33 |        207 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\pgvector.py                                 | Python           |        338 |         16 |         50 |        404 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\qdrant.py                                   | Python           |        155 |          7 |         28 |        190 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\main.py                                         | Python           |         13 |          0 |          7 |         20 |
