"filename", "language", "CSS", "Svelte", "TypeScript", "JSON", "JavaScript", "HTML", "pip requirements", "Shell Script", "Python", "Batch", "Ini", "Ignore", "comment", "blank", "total"
"c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models.svelte", "Svelte", 0, 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 431
"c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte", "Svelte", 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38, 318
"c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\ManageModelsModal.svelte", "Svelte", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 111
"c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\Manage\ManageMultipleOllama.svelte", "Svelte", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte", "Svelte", 0, 954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 1063
"c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Models\ModelList.svelte", "Svelte", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\Pipelines.svelte", "Svelte", 0, 525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54, 580
"c:\Users\Administrator\open-webui\src\lib\components\admin\Settings\WebSearch.svelte", "Svelte", 0, 483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 533
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users.svelte", "Svelte", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 111
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups.svelte", "Svelte", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 244
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\AddGroupModal.svelte", "Svelte", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 150
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\Display.svelte", "Svelte", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 62
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\EditGroupModal.svelte", "Svelte", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 27, 323
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\GroupItem.svelte", "Svelte", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 85
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\Permissions.svelte", "Svelte", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 33, 271
